,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
46,13-15 years,male,Bangla,Immigrant,Home maker,Three Children,secondary,primary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Remittance,71,64,33,36,20,74,59,650000,No,3 hours,No,2.55,60.2
47,13-15 years,male,Bangla,Agriculture,Home maker,Two Children,primary,secondary,4-5 km,Walk,Paraffin,Water,Once,High,Farming,83,30,62,42,71,27,38,400000,No,0 to 30 minutes,Yes,2.52,50.6
48,13-15 years,female,Bangla,Private sector,Freelancer,None,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,High,Casual Wage,65,45,50,23,28,27,62,300000,No,3 hours,No,2.14,51.8
49,13-15 years,female,Bangla,Freelancer ,Worker,Two Children,Masters/ Equivalent and above,primary,4-5 km,Walk,Other,Toilet,Once,High,Own business,54,80,55,79,73,54,55,300000,Yes,3 hours,No,3.21,68
50,13-15 years,female,Bangla,Agriculture,Home maker,None,Masters/ Equivalent and above,primary,2-3 km,Walk,Electricity,Water,Once,Low,Farming,88,72,29,20,76,38,71,150000,Yes,above 3 hours,No,2.81,59.9
51,13-15 years,female,Bangla,Business,Agriculture,None,primary,secondary,0-0.5 km,Rickshaw,Paraffin,Teaching facilities,Once,Mediam,Own business,39,34,34,60,30,67,68,650000,Yes,2 hours,No,2.37,67.4
52,13-15 years,female,Bangla,Unemployed,Home maker,Two Children,secondary,primary,>7 km,Walk,Paraffin,Teaching facilities,None,Mediam,Pansion,63,32,25,88,29,36,48,350000,Yes,0 to 30 minutes,No,2.29,50.1
53,13-15 years,male,Bangla,Public sector,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Formal Wage,38,49,68,52,73,56,77,180000,No,0 to 30 minutes,Yes,2.95,50.7
54,10-13 years,male,Bangla,Business,Agriculture,None,primary,primary,0.5-1 km,Rickshaw,Electricity,Toilet,None,High,Own business,78,28,68,33,84,37,33,220000,No,2 hours,No,2.58,53.7
55,13-15 years,male,Bangla,Freelancer ,Immigrant,None,secondary,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,Mediam,Own business,60,73,85,45,44,70,61,180000,Yes,0 to 30 minutes,No,3.13,70.5
56,above 18 years,male,Bangla,Immigrant,Home maker,None,Masters/ Equivalent and above,secondary,>7 km,Walk,Electricity,Teaching facilities,None,High,Remittance,48,46,63,92,73,39,87,550000,Yes,1 hours,No,3.2,82.8
57,13-15 years,male,Bangla,Worker,Home maker,Two Children,secondary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,High,Casual Wage,63,92,86,62,62,87,89,200000,Yes,0 to 30 minutes,No,3.86,93.7
58,13-15 years,female,Bangla,Immigrant,Agriculture,None,primary,primary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Remittance,54,81,27,59,79,64,90,600000,Yes,above 3 hours,Yes,3.24,91.3
59,13-15 years,female,Bangla,Private sector,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Electricity,None,Mediam,Casual Wage,38,59,30,43,90,54,42,180000,Yes,2 hours,No,2.54,50.9
60,13-15 years,male,Bangla,Immigrant,Public sector,Three Children,Honors/ Equivalent ,None,0.5-1 km,Walk,Electricity,Teaching facilities,Once,High,Remittance,53,44,55,89,62,89,81,100000,No,0 to 30 minutes,Yes,3.38,90.6
61,13-15 years,female,Bangla,Unemployed,Worker,None,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,High,Pansion,37,72,71,81,80,61,77,300000,No,above 3 hours,No,3.42,87.4
62,13-15 years,female,Bangla,Public sector,Home maker,Four or more,Honors/ Equivalent ,primary,0-0.5 km,Private car,Electricity,Toilet,None,High,Formal Wage,86,40,30,82,70,75,45,450000,Yes,above 3 hours,No,3.06,83.2
63,13-15 years,male,Bangla,Private sector,Home maker,Three Children,secondary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Casual Wage,64,66,55,35,62,41,68,400000,No,above 3 hours,No,2.79,63.9
64,10-13 years,female,Bangla,Business,Business,Four or more,primary,secondary,0-0.5 km,Private car,Electricity,Teaching facilities,None,Mediam,Own business,42,86,35,34,68,63,77,600000,Yes,2 hours,No,2.89,57.5
65,10-13 years,female,Bangla,Public sector,Agriculture,Two Children,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,Once,Mediam,Formal Wage,48,86,84,62,32,20,56,150000,Yes,0 to 30 minutes,No,2.77,57.8
66,13-15 years,male,Bangla,Public sector,Home maker,Two Children,None,secondary,1-2 km,Rickshaw,Electricity,Toilet,None,High,Formal Wage,47,89,40,78,46,62,42,400000,Yes,0 to 30 minutes,No,2.89,72.3
67,13-15 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,4-5 km,Bicycle/motorbike,Electricity,Toilet,Once,High,Casual Wage,30,34,90,91,65,57,53,550000,No,0 to 30 minutes,Yes,3,65.2
68,10-13 years,male,Bangla,Worker,Public sector,Three Children,primary,None,6-7 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,Casual Wage,40,42,30,74,31,80,54,200000,Yes,above 3 hours,No,2.51,67
69,15-18 years,male,Bangla,Public sector,Home maker,None,secondary,secondary,0-0.5 km,Walk,Electricity,Water,None,High,Formal Wage,65,61,83,44,67,42,76,250000,Yes,0 to 30 minutes,No,3.13,89.4
70,10-13 years,male,English,Freelancer ,Worker,Four or more,primary,secondary,4-5 km,Walk,Electricity,Toilet,Once,Low,Own business,49,26,32,92,73,62,26,220000,Yes,3 hours,No,2.57,70.7
71,13-15 years,male,Bangla,Unemployed,Business,None,secondary,Honors/Equivalent ,1-2 km,Walk,Electricity,Water,None,Mediam,Pansion,69,68,78,57,29,55,47,400000,Yes,1 hours,No,2.88,70.4
72,13-15 years,female,Bangla,Private sector,Worker,Four or more,primary,Masters/Equivalent and above,4-5 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,55,22,85,23,24,77,58,800000,No,1 hours,No,2.46,71.8
73,15-18 years,female,Bangla,Private sector,Home maker,Three Children,primary,secondary,>7 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,85,35,88,57,30,79,68,300000,Yes,above 3 hours,No,3.16,66.7
74,10-13 years,female,Bangla,Private sector,Agriculture,Three Children,primary,secondary,6-7 km,School Bus/Bus,Other,Toilet,None,Low,Casual Wage,41,78,63,70,78,31,85,100000,No,3 hours,No,3.19,90.7
75,10-13 years,female,English,Private sector,Home maker,None,primary,secondary,6-7 km,Private car,Electricity,Teaching facilities,None,Mediam,Casual Wage,75,82,77,59,56,63,51,220000,Yes,3 hours,No,3.31,79.6
76,10-13 years,male,Bangla,Private sector,Public sector,Four or more,primary,secondary,2-3 km,Walk,Electricity,Toilet,None,High,Casual Wage,31,92,67,36,67,88,53,700000,No,above 3 hours,No,3.1,80.4
77,13-15 years,female,Bangla,Worker,Home maker,None,secondary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,Casual Wage,50,49,87,64,66,30,55,900000,Yes,2 hours,No,2.86,67.2
78,13-15 years,female,Bangla,Business,Immigrant,None,primary,secondary,2-3 km,Bicycle/motorbike,Electricity,Water,None,Low,Own business,20,23,27,34,47,80,22,850000,Yes,1 hours,Yes,1.81,32.3
79,10-13 years,female,Bangla,Public sector,Agriculture,Two Children,primary,Honors/Equivalent ,>7 km,Rickshaw,Electricity,Teaching facilities,None,Low,Formal Wage,70,80,33,31,21,57,82,250000,No,3 hours,No,2.67,57.9
80,10-13 years,male,Bangla,Immigrant,Home maker,Four or more,primary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Remittance,22,55,26,66,84,67,87,250000,No,above 3 hours,No,2.91,55.7
81,13-15 years,female,Bangla,Public sector,Home maker,None,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,82,20,36,27,70,64,87,100000,Yes,1 hours,Yes,2.76,73.9
82,10-13 years,male,Bangla,Private sector,Worker,Two Children,primary,primary,1-2 km,Walk,Electricity,Toilet,Once,High,Casual Wage,46,80,48,62,77,70,32,800000,Yes,0 to 30 minutes,No,2.96,50.2
83,10-13 years,male,Bangla,Public sector,Home maker,Three Children,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Other,Water,Once,Mediam,Formal Wage,53,76,85,67,32,57,72,450000,Yes,above 3 hours,No,3.16,68.1
84,13-15 years,male,Bangla,Worker,Agriculture,Two Children,Honors/ Equivalent ,primary,>7 km,Rickshaw,Electricity,Teaching facilities,None,High,Casual Wage,38,31,22,87,49,31,41,400000,No,3 hours,No,2.14,52.5
85,13-15 years,male,Bangla,Immigrant,Immigrant,Three Children,secondary,secondary,6-7 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,Mediam,Remittance,38,66,36,32,69,91,74,100000,No,2 hours,Yes,2.9,50.1
86,10-13 years,female,Bangla,Business,Public sector,Three Children,secondary,secondary,6-7 km,School Bus/Bus,Other,Teaching facilities,Once,Low,Own business,46,65,46,20,60,68,39,350000,Yes,0 to 30 minutes,No,2.46,62.7
87,13-15 years,male,Bangla,Business,Public sector,Four or more,secondary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,None,Low,Own business,60,24,57,34,27,90,21,300000,Yes,0 to 30 minutes,No,2.24,62.2
88,above 18 years,female,Bangla,Freelancer ,Public sector,Two Children,primary,primary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Own business,58,30,27,30,22,40,67,200000,Yes,1 hours,Yes,1.96,40.3
89,13-15 years,male,Bangla,Freelancer ,Worker,None,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,High,Own business,56,65,37,33,90,33,29,850000,No,above 3 hours,No,2.45,55.4
90,10-13 years,female,Bangla,Unemployed,Home maker,Two Children,primary,primary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Pansion,87,28,39,29,85,65,50,500000,Yes,1 hours,No,2.74,65.2
91,10-13 years,male,Bangla,Immigrant,Home maker,None,Masters/ Equivalent and above,primary,>7 km,Walk,Electricity,Water,Once,Mediam,Remittance,89,63,22,92,57,50,91,250000,Yes,0 to 30 minutes,No,3.31,94.2
92,13-15 years,female,Bangla,Private sector,Home maker,None,Masters/ Equivalent and above,primary,0.5-1 km,Walk,Electricity,Toilet,None,High,Casual Wage,61,46,27,28,60,91,23,200000,Yes,1 hours,No,2.4,54.5
93,13-15 years,female,Bangla,Business,Home maker,Two Children,Masters/ Equivalent and above,secondary,2-3 km,School Bus/Bus,Electricity,Water,None,Low,Own business,45,68,87,53,43,69,25,350000,Yes,3 hours,No,2.79,74.8
94,10-13 years,female,Bangla,Agriculture,Home maker,None,secondary,secondary,4-5 km,Walk,Paraffin,Teaching facilities,Once,High,Farming,65,86,83,26,87,26,85,200000,Yes,1 hours,No,3.27,77.6
95,10-13 years,female,Bangla,Private sector,Agriculture,Three Children,None,Honors/Equivalent ,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Casual Wage,29,54,45,77,66,26,34,350000,No,2 hours,No,2.36,70.8
96,13-15 years,male,Bangla,Business,Home maker,None,primary,primary,2-3 km,Bicycle/motorbike,Other,Water,None,Mediam,Own business,59,86,22,54,45,36,40,900000,No,2 hours,No,2.44,61.1
97,13-15 years,male,Bangla,Immigrant,Freelancer,Three Children,None,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,Low,Remittance,63,81,89,67,25,23,78,300000,Yes,0 to 30 minutes,Yes,3.04,89.5
98,15-18 years,male,Bangla,Immigrant,Home maker,Three Children,Masters/ Equivalent and above,secondary,0.5-1 km,School Bus/Bus,Other,Toilet,None,Mediam,Remittance,69,65,45,34,83,91,64,750000,Yes,above 3 hours,No,3.22,77.5
99,10-13 years,female,Bangla,Immigrant,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Remittance,23,36,48,78,65,62,72,150000,Yes,0 to 30 minutes,Yes,2.74,53.4
100,10-13 years,male,Bangla,Immigrant,Worker,None,secondary,primary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Remittance,80,51,91,37,58,64,42,450000,No,0 to 30 minutes,Yes,3.02,83.9
101,15-18 years,male,Bangla,Unemployed,Home maker,None,secondary,Honors/Equivalent ,4-5 km,Walk,Electricity,Toilet,None,Mediam,Pansion,37,54,60,49,25,67,38,300000,No,1 hours,No,2.36,55.4
102,13-15 years,female,Bangla,Freelancer ,Home maker,None,primary,secondary,6-7 km,Walk,Paraffin,Teaching facilities,None,Mediam,Own business,26,27,26,79,66,22,32,300000,No,3 hours,Yes,1.99,30.2
103,13-15 years,female,Bangla,Private sector,Immigrant,Three Children,primary,primary,2-3 km,School Bus/Bus,Electricity,Toilet,None,High,Casual Wage,43,24,70,59,63,79,46,900000,Yes,2 hours,No,2.74,57.8
104,10-13 years,female,Bangla,Private sector,Home maker,Two Children,None,secondary,4-5 km,Bicycle/motorbike,Electricity,Water,Once,High,Casual Wage,38,78,27,58,72,33,92,200000,Yes,above 3 hours,No,2.84,73.7
105,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Private car,Electricity,Electricity,None,Low,Casual Wage,63,61,33,34,32,76,78,250000,No,3 hours,No,2.69,55.6
106,10-13 years,male,Bangla,Public sector,Business,Three Children,primary,secondary,0-0.5 km,Rickshaw,Electricity,Toilet,None,High,Formal Wage,74,34,53,23,51,47,62,850000,Yes,1 hours,No,2.46,55.4
107,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,primary,6-7 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,Own business,70,59,34,32,64,34,49,800000,No,0 to 30 minutes,Yes,2.44,73.3
108,15-18 years,female,Bangla,Business,Public sector,Three Children,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Electricity,Toilet,None,High,Own business,88,51,27,45,31,75,51,300000,No,above 3 hours,No,2.63,51.3
109,15-18 years,male,Bangla,Worker,Immigrant,None,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,54,83,41,92,29,75,36,750000,No,3 hours,No,2.93,63.6
110,10-13 years,male,Bangla,Business,Home maker,Four or more,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Own business,66,38,77,71,85,53,85,900000,No,1 hours,No,3.39,65.9
111,10-13 years,female,Bangla,Worker,Business,Two Children,None,primary,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,29,38,37,27,78,74,42,600000,No,above 3 hours,No,2.32,71.3
112,13-15 years,male,Bangla,Unemployed,Business,Three Children,None,secondary,0.5-1 km,Walk,Other,Water,Once,Low,Pansion,64,89,58,21,20,52,57,700000,Yes,1 hours,No,2.58,72.6
113,10-13 years,male,Bangla,Immigrant,Worker,Three Children,secondary,primary,2-3 km,Bicycle/motorbike,Other,Water,Once,Mediam,Remittance,20,63,89,87,65,21,66,200000,No,2 hours,Yes,2.94,73.7
114,13-15 years,female,Bangla,Private sector,Home maker,None,primary,None,2-3 km,Private car,Electricity,Electricity,Once,Mediam,Casual Wage,21,48,75,26,84,92,25,650000,No,1 hours,No,2.65,74.9
115,13-15 years,male,English,Business,Agriculture,Three Children,secondary,secondary,2-3 km,Private car,Paraffin,Water,Once,High,Own business,26,37,82,58,33,35,80,200000,Yes,3 hours,No,2.51,50.9
116,13-15 years,male,Bangla,Agriculture,Agriculture,Two Children,primary,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,Mediam,Farming,22,92,52,28,65,57,74,800000,Yes,1 hours,No,2.79,64.4
117,10-13 years,male,Bangla,Public sector,Worker,Three Children,Masters/ Equivalent and above,secondary,6-7 km,School Bus/Bus,Other,Teaching facilities,None,Mediam,Formal Wage,86,73,47,21,82,25,82,250000,Yes,above 3 hours,No,2.97,70.1
118,13-15 years,female,Bangla,Agriculture,Home maker,Two Children,secondary,None,0.5-1 km,Bicycle/motorbike,Other,Toilet,Once,Mediam,Farming,33,22,35,90,34,45,76,800000,Yes,0 to 30 minutes,No,2.39,51.2
119,15-18 years,female,Bangla,Business,Freelancer,Two Children,primary,primary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Own business,43,37,88,84,82,28,35,250000,Yes,3 hours,No,2.84,65.6
120,13-15 years,female,Bangla,Business,Agriculture,Two Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Other,Toilet,Once,Mediam,Own business,35,58,89,52,91,66,84,200000,Yes,2 hours,No,3.39,78.6
121,10-13 years,male,Bangla,Business,Business,None,secondary,None,6-7 km,School Bus/Bus,Electricity,Toilet,None,Low,Own business,91,49,27,47,49,52,60,600000,No,2 hours,No,2.68,61.1
122,15-18 years,female,Bangla,Worker,Worker,Three Children,secondary,primary,0-0.5 km,Rickshaw,Electricity,Toilet,Once,High,Casual Wage,53,75,82,36,80,62,36,220000,Yes,2 hours,No,3.03,72.7
